codigo_bairro,bairro,rede_geral_ou_pluvial,fossa_septica_ligada_rede,fossa_septica_nao_ligada_rede,fossa_rudimentar_ou_buraco,vala,rio_lago_corrego_mar,outra_forma,sem_banheiro_sanitario,total_domicilios_esgotamento,pct_adequado
2408102029,Nossa Senhora da Apresentação,1489,394,6397,17089,609,0,122,0,26100,0.07200000000000001
2408102034,Pajuçara,1801,200,10091,7273,15,7,314,0,19701,0.102
2408102033,Lagoa Azul,674,683,8467,9109,78,0,18,0,19029,0.071
2408102031,Potengi,627,95,3168,12958,52,0,14,0,16914,0.043
2408102021,Filipe Camarão,2679,441,7501,4133,126,191,43,0,15114,0.20600000000000002
2408102038,Planalto,618,115,7074,5013,62,5,81,0,12968,0.057
2408102017,Lagoa Nova,11258,589,1515,115,0,0,56,0,13533,0.875
2408102026,Ponta Negra,10826,175,3097,52,0,0,0,0,14150,0.777
2408102023,Pitimbú,843,380,6660,1034,0,0,3,0,8920,0.13699999999999998
2408102024,Neópolis,1575,168,6503,401,0,0,128,0,8775,0.19899999999999998
2408102025,Capim Macio,6221,279,2409,48,0,0,53,0,9010,0.721
2408102011,Alecrim,7475,94,165,214,20,37,0,0,8005,0.946
2408102028,Igapó,4222,743,1759,993,41,0,12,0,7770,0.639
2408102012,Quintas,7087,204,206,71,31,111,4,0,7714,0.945
2408102019,Candelária,2855,391,4084,10,0,0,4,0,7344,0.442
2408102008,Tirol,7215,98,55,4,0,0,0,0,7372,0.992
2408102015,Cidade da Esperança,6033,94,85,16,0,0,6,0,6234,0.983
2408102022,Guarapés,1615,161,2565,1091,262,0,26,0,5720,0.31
2408102035,Redinha,169,146,4286,893,3,0,23,3,5523,0.057
2408102014,Bom Pastor,2324,603,1802,310,55,389,35,10,5528,0.529
2408102037,Nossa Senhora de Nazaré,5102,112,145,61,0,0,0,0,5420,0.9620000000000001
2408102020,Cidade Nova,1223,115,2598,441,33,0,24,0,4434,0.302
2408102016,Dix-Sept Rosado,4305,157,180,11,0,8,5,0,4666,0.956
2408102007,Mãe Luíza,3680,73,224,117,19,0,0,0,4113,0.912
2408102018,Nova Descoberta,3375,132,345,3,0,0,4,0,3859,0.909
2408102036,Barro Vermelho,3044,24,11,0,0,0,0,0,3079,0.996
2408102003,Rocas,2678,170,71,10,0,0,0,0,2929,0.972
2408102013,Nordeste,2563,45,58,13,3,211,11,0,2904,0.898
2408102010,Lagoa Seca,2113,40,28,11,0,0,0,0,2192,0.982
2408102005,Petrópolis,2176,3,4,0,0,0,0,0,2183,0.998
2408102009,Cidade Alta,1824,59,98,6,0,88,0,0,2075,0.907
2408102001,Santos Reis,1363,176,11,3,0,0,0,0,1553,0.991
2408102002,Praia do Meio,1326,22,14,26,0,0,8,0,1396,0.966
2408102006,Areia Preta,1194,0,7,15,0,0,0,0,1216,0.982
2408102004,Ribeira,918,17,9,0,0,0,0,0,944,0.99
2408102032,Salinas,69,32,117,11,14,96,0,0,339,0.298
