codigo_bairro,bairro,responsaveis,moradores,rendimento_medio_responsavel,rendimento_mediano_responsavel
2408102001,Santos Reis,1562,4717,2157.56,1212.0
2408102002,Praia do Meio,1400,3659,2811.23,1500.0
2408102003,Rocas,2942,8299,2514.26,1250.0
2408102004,Ribeira,951,2637,8290.05,5000.0
2408102005,Petrópolis,2190,5359,11648.99,8000.0
2408102006,Areia Preta,1220,3341,10749.04,5000.0
2408102007,Mãe Luíza,4139,12267,1361.31,1212.0
2408102008,Tirol,7387,19455,12251.79,10000.0
2408102009,Cidade Alta,2084,5339,4016.6,1700.0
2408102010,Lagoa Seca,2198,5550,5793.42,3000.0
2408102011,Alecrim,8049,21964,2692.77,1500.0
2408102012,Quintas,7749,21074,1759.97,1212.0
2408102013,Nordeste,2929,8056,1877.09,1212.0
2408102014,Bom Pastor,5563,15574,1563.39,1212.0
2408102015,Cidade da Esperança,6255,17944,3413.29,1700.0
2408102016,Dix-Sept Rosado,4687,12823,2142.1,1212.0
2408102017,Lagoa Nova,13585,35595,8365.86,5200.0
2408102018,Nova Descoberta,3874,10342,3682.13,2000.0
2408102019,Candelária,7372,19905,7952.55,5015.0
2408102020,Cidade Nova,4460,12872,1470.29,1212.0
2408102021,Filipe Camarão,15205,44402,1463.15,1212.0
2408102022,Guarapés,5759,17293,1141.59,1200.0
2408102023,Pitimbú,8946,24474,5097.86,3600.0
2408102024,Neópolis,8819,23311,4931.2,3000.0
2408102025,Capim Macio,9050,22180,8234.11,6000.0
2408102026,Ponta Negra,14219,34994,6198.25,3500.0
2408102028,Igapó,7793,21281,1760.58,1212.0
2408102029,Nossa Senhora da Apresentação,26238,75885,1524.18,1212.0
2408102031,Potengi,16999,48260,2359.07,1500.0
2408102032,Salinas,345,1042,1112.44,1212.0
2408102033,Lagoa Azul,19118,55526,1557.01,1212.0
2408102034,Pajuçara,19788,56453,1983.04,1212.0
2408102035,Redinha,5559,16336,1894.5,1212.0
2408102036,Barro Vermelho,3090,8438,8991.88,6000.0
2408102037,Nossa Senhora de Nazaré,5462,15048,3236.51,1500.0
2408102038,Planalto,13045,37022,1931.96,1212.0
